Y_q \ X_q,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90
0.10,-2.1402*,+0.2785,+5.1653***,-2.9292,-1.1671,+0.7801,-0.0749,+1.9077,-0.8535
0.20,-2.5300*,-1.0543,+1.7775,+0.7254,+1.7531,+0.2334,+0.3934,+2.7001,+0.0623
0.30,-2.8278**,-0.6063,+1.8491,+3.1034,-1.3974,-1.0250,-0.4461,+1.5995,+0.0280
0.40,-3.0052*,+0.0738,+2.0353,+1.5953,-1.0605,-1.5684,-0.4014,+0.9507,+0.0817
0.50,-2.8405**,-0.2993,+2.1383,+0.0264,-0.6951,-0.6211,-0.3845,+0.9156,-0.0367
0.60,-2.2551*,-0.5076,-0.1124,-0.2766,-3.0804,-1.6684,+0.2197,+0.8183,-0.0766
0.70,-0.7246,+0.5583,-0.9551,-2.8827,+1.7089,-0.7548,+0.5579,+0.4963,-0.4165
0.80,-0.3229,+0.7903,-3.1340,-4.3202,+4.5644,-2.3779*,+1.0219,+2.1461,+0.2940
0.90,-0.4511,+1.8938,-10.7834*,-5.0829,+4.7014,-2.5521,+0.3897,+2.5992**,-0.4533
