Y_q \ X_q,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90
0.10,-2.3150*,-1.0940,+1.7699,-1.4485,+2.6246,-0.5902,-0.1944,+1.6919,-0.4540
0.20,-3.1589***,-1.3652,+2.0320,-1.9809,+1.0033,-1.1968,-0.7288,+0.7909,+0.2165
0.30,-2.9357***,-0.7105,+2.5207*,-1.6610,-2.0093,-0.7330,-0.6816,+1.2414,+0.2696
0.40,-2.4703**,-0.5830,+2.5481,+0.6382,-1.1597,-0.8570,-0.5439,+1.2495*,+0.1618
0.50,-2.2342*,-0.3554,+1.1550,+1.0954,-1.8113,-0.9587,-0.1920,+0.8593,-0.2547
0.60,-2.1617,-0.3544,+0.6602,+0.7818,-4.2586,-1.2973,+0.0230,+0.6606,-0.3263
0.70,-0.8647,+0.3263,-0.2132,-1.2918,-2.9614,-0.6688,+0.6247,+0.4190,-0.4660
0.80,-1.1616,+0.3266,-3.5225,-0.5255,+2.3848,-2.0030,+1.6330,+1.4779,-0.4652
0.90,-0.9716,+3.1764,-12.4979**,+1.3381,+1.0255,-3.2424***,+0.7730,+3.9771***,-0.6241
