Y_q \ X_q,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90
0.10,+0.4329,-5.7862,-13.6066,-13.8110,-10.8878,-10.8772,+7.4717,+1.9801,+4.3094
0.20,+2.0383,-7.7786,-16.2550,-9.7195,-4.7566,+3.4731,-9.7430,+2.5118,-5.5797
0.30,+3.9837,-14.0918,-7.1477,-2.7070,-20.6586,-0.2147,-11.4394,+0.7771,-5.2272
0.40,+6.0262,-8.0988,-2.4034,-0.7831,-16.9254,+18.5611,-4.8970,+0.3798,-3.9037
0.50,-4.3087,+0.1786,+6.0486,+2.1226,-22.9707,+17.9186,-4.2856,+5.8565,-3.7163
0.60,-6.6801,+10.5314,+6.5750,+3.3455,+6.6467,+15.2871,-5.0013,+4.9983,-0.0246
0.70,-5.9249,+8.4584,+6.1024,+6.7675,-3.8539,+19.0323,-12.3636,+5.3471,+2.6372
0.80,+0.9957,+7.8432,+14.3439,+14.6921,-15.1059,-3.1539,-11.0997,+7.4432,+1.2390
0.90,-8.2383,+5.2103,-9.8079,+11.3486,-13.4121,-4.8429,+6.6031,-1.1760,-0.0717
